Date,conbined_intervention_I,conbined_intervention_I_up,conbined_intervention_I_down,reported_I,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2.0,2.0,2.0,2,2.0,2.0,2.0
2020-06-05,11.761657037399514,11.767919803674722,11.75201482774613,3,11.761657037399514,11.767919803674722,11.75201482774613
2020-06-06,19.365629294048876,19.38481857450419,19.27085201788193,5,19.365629294048876,19.38481857450419,19.27085201788193
2020-06-07,27.524941240320345,27.81279610026512,26.832472166765662,15,27.524941240320345,27.81279610026512,26.832472166765662
2020-06-08,37.017843291845594,37.85113429856824,35.14648813152622,25,37.017843291845594,37.85113429856824,35.14648813152622
2020-06-09,48.190067895681906,49.890911266355616,44.486123016499036,40,48.190067895681906,49.890911266355616,44.486123016499036
2020-06-10,62.35688179362191,65.44377971402722,55.801720084506854,55,62.35688179362191,65.44377971402722,55.801720084506854
2020-06-11,79.88474603713179,84.98904282938568,69.28232682498827,67,79.88474603713179,84.98904282938568,69.28232682498827
2020-06-12,100.79808372312945,108.63259758762611,84.84728094741615,98,100.79808372312945,108.63259758762611,84.84728094741615
2020-06-13,124.68431389400303,136.0111407920743,102.0628001006126,134,124.68431389400303,136.0111407920743,102.0628001006126
2020-06-14,151.39376849297838,167.05561184174627,120.69882054273639,165,151.39376849297838,167.05561184174627,120.69882054273639
2020-06-15,177.1866915646084,197.34165395305743,138.28455994233911,180,177.1866915646084,197.34165395305743,138.28455994233911
2020-06-16,200.21727320670888,224.60618172334085,153.70514933182528,201,200.21727320670888,224.60618172334085,153.70514933182528
2020-06-17,221.43771227676234,249.97460698933193,167.60405256063905,217,221.43771227676234,249.97460698933193,167.60405256063905
2020-06-18,240.33102961406956,272.75703298415385,179.7418499386196,238,240.33102961406956,272.75703298415385,179.7418499386196
2020-06-19,256.5338954464118,292.45318400247817,189.9693077866661,249,256.5338954464118,292.45318400247817,189.9693077866661
2020-06-20,270.3717395011514,309.4295718310503,198.53108095732244,262,270.3717395011514,309.4295718310503,198.53108095732244
2020-06-21,282.27731150897387,324.1888293526231,205.73065979967097,275,282.27731150897387,324.1888293526231,205.73065979967097
2020-06-22,292.0513565604141,336.3979186411666,211.54588945446233,282,292.0513565604141,336.3979186411666,211.54588945446233
2020-06-23,299.9049650210195,346.26920441871516,216.15777034163594,285,299.9049650210195,346.26920441871516,216.15777034163594
2020-06-24,306.4142974792654,354.5189219431569,219.91199332409136,302,306.4142974792654,354.5189219431569,219.91199332409136
2020-06-25,311.91459040279136,361.5581198206371,223.017088591627,305,311.91459040279136,361.5581198206371,223.017088591627
2020-06-26,316.4577384180601,367.4190992512127,225.53750506265308,322,316.4577384180601,367.4190992512127,225.53750506265308
2020-06-27,320.08168758467144,372.12198111480194,227.52322206891193,329,320.08168758467144,372.12198111480194,227.52322206891193
2020-06-28,322.94135366433466,375.85340396281384,229.0726899137326,329,322.94135366433466,375.85340396281384,229.0726899137326
2020-06-29,325.1865593974111,378.7987320543711,230.276158303801,331,325.1865593974111,378.7987320543711,230.276158303801
2020-06-30,326.9738917236204,381.1586807965231,231.2214201517583,331,326.9738917236204,381.1586807965231,231.2214201517583
2020-07-01,328.39468110371814,383.0468196042493,231.96287745376736,333,328.39468110371814,383.0468196042493,231.96287745376736
2020-07-02,329.48107489206336,384.4962355033376,232.525762460373,334,329.48107489206336,384.4962355033376,232.525762460373
2020-07-03,330.31375545196676,385.61186950054827,232.95382143877117,334,330.31375545196676,385.61186950054827,232.95382143877117
2020-07-04,330.95155964618465,386.4699689644467,233.27918547326493,335,330.95155964618465,386.4699689644467,233.27918547326493
2020-07-05,331.43409900112255,387.121173294043,233.52404912632235,335,331.43409900112255,387.121173294043,233.52404912632235
